participant_id,quality_antecedent_identification,quality_consequence_identification,quality_setting_event_identification,quality_core_function_hypothesis,quality_replacement_behavior_recommendation,quality_overall_rating,human_fba_similarity_antecedent_identification,human_fba_similarity_consequence_identification,human_fba_similarity_setting_event_identification,human_fba_similarity_core_function_hypothesis,human_fba_similarity_replacement_behavior_recommendation,human_fba_similarity_overall_rating,general_ai_similarity_antecedent_identification,general_ai_similarity_consequence_identification,general_ai_similarity_setting_event_identification,general_ai_similarity_core_function_hypothesis,general_ai_similarity_replacement_behavior_recommendation,general_ai_similarity_overall_rating
P085,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,,
P086,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,3.0,2.0,2.0,3.0,2.0,3.0
P087,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,,,,
P088,,,,,,,4.0,5.0,5.0,4.0,5.0,5.0,,,,,,
P089,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,,,,,,
P090,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P091,4.0,4.0,2.0,4.0,3.0,3.0,,,,,,,2.0,2.0,4.0,2.0,2.0,3.0
P092,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,,,,,,
P093,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,4.0,3.0,4.0,4.0,3.0,4.0
P094,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,
P095,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,2.0,4.0,4.0,5.0,4.0
P096,4.0,5.0,4.0,5.0,4.0,5.0,,,,,,,4.0,4.0,4.0,5.0,4.0,5.0
P097,4.0,3.0,4.0,4.0,3.0,4.0,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0
P098,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,,,,,,
P099,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,
P100,,,,,,,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,
P101,4.0,4.0,3.0,5.0,4.0,4.0,,,,,,,2.0,2.0,3.0,1.0,1.0,2.0
P102,,,,,,,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P103,,,,,,,5.0,4.0,3.0,4.0,4.0,4.0,,,,,,
P104,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,,,,,
P105,4.0,4.0,5.0,5.0,3.0,4.0,,,,,,,4.0,4.0,3.0,3.0,4.0,3.0
P106,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,2.0,2.0,3.0,4.0,4.0,3.0
P107,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P108,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,,3.0,3.0,2.0,2.0,3.0,3.0
P109,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,,,,,,
P110,5.0,4.0,3.0,5.0,4.0,4.0,,,,,,,4.0,3.0,3.0,5.0,4.0,3.0
P111,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,,,,,
P112,5.0,4.0,5.0,5.0,4.0,5.0,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0
P113,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P114,3.0,3.0,4.0,4.0,3.0,4.0,,,,,,,4.0,3.0,4.0,4.0,4.0,4.0
P115,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,,,,,,
P116,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,,,,,,
P117,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,,4.0,4.0,4.0,4.0,3.0,3.0
P118,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,
P119,4.0,4.0,4.0,4.0,3.0,3.0,,,,,,,3.0,3.0,3.0,4.0,4.0,3.0
P120,4.0,5.0,5.0,5.0,4.0,5.0,,,,,,,2.0,1.0,2.0,1.0,2.0,1.0
P121,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P122,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,,,,,,
P123,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,,,,,,
P124,4.0,5.0,5.0,4.0,5.0,4.0,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0
P125,4.0,3.0,4.0,5.0,4.0,4.0,,,,,,,3.0,4.0,3.0,4.0,4.0,4.0
P126,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,
P127,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,,,,,,
P128,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P129,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P130,,,,,,,3.0,1.0,4.0,3.0,4.0,3.0,,,,,,
P131,3.0,2.0,3.0,4.0,4.0,3.0,,,,,,,2.0,2.0,3.0,1.0,1.0,2.0
P132,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,,,,,,
P133,,,,,,,5.0,4.0,3.0,4.0,4.0,4.0,,,,,,
P134,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P135,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0
P136,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,,2.0,2.0,3.0,4.0,2.0,2.0
P137,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,,,,,,
